Category,Item,Measurement/Variation,Price
WINE WHITE,Big Banian,150ml/750ml,365/1300
WINE WHITE,Sula Sauvignon Blanc,150ml/750ml,370/1400
WINE RED,Big Banian,150ml/750ml,385/1350
WINE RED,Sula Shiraz,150ml/750ml,385/1450
BLENDED WHISKY,Jw Red Label,30ML/180ML/750ML,200/1200/4850
BLENDED WHISKY,Jw Black Label,30ML/180ML/750ML,290/1740/7250
BLENDED WHISKY,Jw Double Black Label,30ML/180ML/750ML,525
BLENDED WHISKY,Chivas Regal,30ML/180ML/750ML,495
BLENDED WHISKY,Ballantine’s,30ML/180ML/750ML,325
BLENDED WHISKY,J&B Rare,30ML/180ML/750ML,345
SINGLE MALT WHISKY,Amrut Singlemalt,30ML/180ML/750ML,285
SINGLE MALT WHISKY,Indri Single Malt,30ML/180ML/750ML,345
SINGLE MALT WHISKY,Paul John Nirvana,30ML/180ML/750ML,285
BOURBON & IRISH WHISKEY,Jack Daniel’s Tennessee Whiskey,30ML/180ML/750ML,260/1520/6300
BOURBON & IRISH WHISKEY,Jim Beam Bourbon,30ML/180ML/750ML,285
BOURBON & IRISH WHISKEY,Jameson Irish Whiskey,30ML/180ML/750ML,325
IMFL WHISKEY,Black & White,30ML/180ML/750ML,140/840/3380
IMFL WHISKEY,Teachers 50,30ML/180ML/750ML,190/1130/4690
IMFL WHISKEY,Teachers Highland,30ML/180ML/750ML,140/820/3350
IMFL WHISKEY,Blenders Pride,30ML/180ML/750ML,100/600/2450
IMFL WHISKEY,Antiquity Blue,30ML/180ML/750ML,175
IMFL WHISKEY,Signature Rare Aged,30ML/180ML/750ML,160/630/3910
IMFL WHISKEY,Black Dog,30ML/180ML/750ML,140/840/3380
IMFL WHISKEY,100 Pipers,30ML/180ML/750ML,140/840/3380
IMFL WHISKEY,Vat 69,30ML/180ML/750ML,140/840/3380
VODKA,Smirnoff,30ML/180ML/750ML,100/620/2470
VODKA,Smirnoff Green Apple,30ML/180ML/750ML,110/630/2570
VODKA,Absolut,30ML/180ML/750ML,245
VODKA,Magic Moments,30ML/180ML/750ML,70/420/1700
