Category,Sub-Category,Item Name,Price (₹),Notes
TIT BIT (VEGETARIAN),Snacks,CHUNKY MUNKY PEANUT,125,
TIT BIT (VEGETARIAN),Snacks,GARLIC JEERA KHAKRA CHAT BITES,125,
TIT BIT (VEGETARIAN),Snacks,DAL PAKWAN IN CORN CHIPS,125,
TIT BIT (VEGETARIAN),Snacks,DOUBLE MANGO PANI PURI HOUSE SPECIAL,125,
TIT BIT (VEGETARIAN),Snacks,RAW BANANA TUK TUK,125,
TIT BIT (VEGETARIAN),Snacks,SCHEZWAN CHINESE BHEL,132,
TIT BIT (VEGETARIAN),Snacks,PANEER PHATAKA,145,
TIT BIT (VEGETARIAN),Snacks,JHALAPENO POPPERS,132,
TIT BIT (VEGETARIAN),Snacks,CRISPY LOTUS IN HOT CHILI SAUCE,145,
TIT BIT (VEGETARIAN),Snacks,CRISPY CORN IN HOT SPICE,145,
NON VEGETARIAN,Eggs,DESI FETA EGGS BAKED,165,
NON VEGETARIAN,Eggs,PAN FRIED EGGS LUNA STYLE,165,
NON VEGETARIAN,Appetizers,CAJUN CHICKEN BITES,185,
NON VEGETARIAN,Appetizers,CHILI CHICKEN CRISPY PHYLO WONTONS,185,
NON VEGETARIAN,Appetizers,SILVER FISH RAWA CAJUN FRIED,195,
NON VEGETARIAN,Appetizers,SHRIMPS FRITTERS IN TANDOORI SPICES,215,
FRIES,Sides,SALTED FRIES,215,
FRIES,Sides,MEXICAN LOADED FRIES,245,
FRIES,Sides,CAJUN TOSSED FRIES,225,
FRIES,Sides,PERI PERI FRIES,225,
SOUP,Vegetarian,Railway Style Tomato Soup,125,Served with bread
SOUP,Vegetarian,Tom Yum Soup,145,Add Chicken 30
SOUP,Vegetarian,Hot & Sour Soup,145,
SOUP,Vegetarian,Lemon Coriander Soup,145,
SOUP,Vegetarian,Mancho Soup,145,
SOUP,Vegetarian,Broccoli Almond Soup,165,
SALADS,Veg/Non-Veg,Garden Green Salad,150,
SALADS,Veg/Non-Veg,Sprout Desi Salad,225,
SALADS,Veg/Non-Veg,Honey Citrus Salad,225,
SALADS,Veg/Non-Veg,Chicken Caesar Salad,285,
WESTERN SPECIALS,Vegetarian,NACHOS & SALSA,245,
WESTERN SPECIALS,Vegetarian,NACHOS FULLY LOADED VEG,205,
WESTERN SPECIALS,Vegetarian,ONION RING CRISPY FRIED,225,
WESTERN SPECIALS,Vegetarian,CRISPY FRIED CAULIFLOWER PERI PERI OR CHEESE SAUCE,265,
WESTERN SPECIALS,Vegetarian,PANEER CHAT PATA SPRING ROLL,275,
WESTERN SPECIALS,Non-Vegetarian,CHICKEN TENDER STRIPS WITH HONEY MUSTARD SAUCE,265,
WESTERN SPECIALS,Non-Vegetarian,BUFFALO WINGS (12 pcs),295,
WESTERN SPECIALS,Non-Vegetarian,NACHOS FULLY LOADED CHICKEN,325,
WESTERN SPECIALS,Non-Vegetarian,CHICKEN BACON-WRAPPED COCKTAIL PRAWNS,295,
WESTERN SPECIALS,Non-Vegetarian,FISH FINGERS PANKO CRUMB FRIED,295,
PAN ASIAN SPECIALS,Vegetarian,CRISPY BABY CORN LUNA SPECIAL,210,
PAN ASIAN SPECIALS,Vegetarian,MUSHROOM SALT N PEPPER,265,
PAN ASIAN SPECIALS,Vegetarian,BAKED STUFFED POTATO IN TANGY SPICY SAUCE,235,
PAN ASIAN SPECIALS,Vegetarian,CRISPY VEGETABLES IN SCHEZWAN SAUCE,235,
PAN ASIAN SPECIALS,Vegetarian,THAI CHILI PANEER,255,
PAN ASIAN SPECIALS,Non-Vegetarian,HUNAN STIR-FRIED CHICKEN,325,
PAN ASIAN SPECIALS,Non-Vegetarian,PEPPER CHICKEN DRY,325,
PAN ASIAN SPECIALS,Non-Vegetarian,CB PUR CHILI CHICKEN CHEF SPECIAL,325,
PAN ASIAN SPECIALS,Non-Vegetarian,CHICKEN LOLLIPOP,310,
PAN ASIAN SPECIALS,Non-Vegetarian,VIETNAMESE CHICKEN,325,
PAN ASIAN SPECIALS,Non-Vegetarian,NUMPREK CHICKEN IN HOUSE SPECIAL,335,
PAN ASIAN SPECIALS,Non-Vegetarian,STIR-FRIED CRISPY HONEY CHILI LIME FISH,335,
PAN ASIAN SPECIALS,Non-Vegetarian,STIR-FRIED THAI STYLE PRAWNS,365,
REGIONAL & TANDOOR,Vegetarian,METHI PANEER TIKKA,325,
REGIONAL & TANDOOR,Vegetarian,HARA BHARA KAJU KEBAB,285,
REGIONAL & TANDOOR,Vegetarian,STUFFED PANEER TIKKA,335,
REGIONAL & TANDOOR,Vegetarian,STUFFED MUSHROOM LASOONI TIKKA,325,
REGIONAL & TANDOOR,Vegetarian,MALIA BROCCOLI KEBAB,325,
REGIONAL & TANDOOR,Vegetarian,PROTEIN GALOUTI VEG KEBAB,295,
REGIONAL & TANDOOR,Vegetarian,VEGETARIAN PLATTER,545,
REGIONAL & TANDOOR,Non-Vegetarian,SMOKED CHICKEN TIKKA,345,
REGIONAL & TANDOOR,Non-Vegetarian,METHI MALAI CHICKEN TIKKA,345,
REGIONAL & TANDOOR,Non-Vegetarian,CHICKEN GALOUTI KEBAB,335,
REGIONAL & TANDOOR,Non-Vegetarian,KALMI LASOONI KEBAB,345,
REGIONAL & TANDOOR,Non-Vegetarian,ALFHAM CHICKEN (Half/Full),325/525,
REGIONAL & TANDOOR,Non-Vegetarian,TANDOORI CHICKEN/PRAWN (Half/Full),425/525,
REGIONAL & TANDOOR,Non-Vegetarian,CHICKEN SUKKA,325,
REGIONAL & TANDOOR,Non-Vegetarian,CHICKEN/PRAWN GHEE ROAST,345/425,
REGIONAL & TANDOOR,Non-Vegetarian,GUNTUR CHILI CHICKEN,325,
